map1	warpid	map2	x	y
10852	1	10920	930	450
10920	1	10852	730	430
11000	1	12000	1210	2410
11000	3	11571	650	370
11000	4	11021	310	530
11000	5	11801	290	2410
11000	6	11501	210	1010
11000	7	11531	1250	1150
11000	9	11401	1430	510
11000	12	12000	2410	1250
11000	13	11411	1470	570
11000	14	11831	370	1690
11000	15	11811	2350	290
11000	16	11841	370	1030
11000	2	13000	1690	90
11000	17	11821	2170	1210
11000	19	11421	690	570
11000	18	15000	2530	270
11000	20	58000	490	1790
11000	21	55000	722	1795
11000	10	15000	2530	270
11000	8	15507	190	350
11000	11	55000	630	1790
11001	1	11002	170	570
11001	2	11801	1550	290
11002	1	11201	410	430
11002	2	11171	330	410
11002	3	11301	230	470
11002	4	11241	450	530
11002	5	11003	1290	1130
11002	6	11001	830	130
11002	7	11261	470	410
11002	10	11131	390	430
11003	1	11002	170	150
11003	2	11581	2310	1650
11011	1	11000	1830	890
11011	2	11012	210	530
11011	17	11821	2170	1210
11012	1	11011	890	110
11012	2	11132	370	430
11012	3	11172	330	410
11012	4	11221	370	430
11012	5	11242	390	530
11012	6	11101	490	410
11012	7	11013	270	1130
11013	1	11012	610	90
11013	2	11534	210	350
11021	1	11000	2430	290
11021	2	11174	270	530
11021	3	11173	590	510
11021	4	11133	570	530
11101	1	11012	450	110
11131	1	11002	210	170
11132	1	11012	70	290
11133	1	11021	370	370
11171	1	11002	750	310
11172	1	11012	410	390
11173	1	11021	850	270
11174	1	11021	1070	250
11201	1	11002	230	430
11221	1	11012	630	450
11241	1	11002	150	490
11242	1	11012	830	510
11261	1	11002	370	330
11307	1	11002	450	250
11401	1	11000	950	1650
11411	1	11000	1330	1470
11421	1	11000	1850	1190
11421	2	11422	1450	530
11422	1	11421	150	570
11422	2	11423	870	510
11423	1	11422	150	490
11423	2	11424	410	310
11424	1	11423	330	290
11431	1	11514	1530	350
11431	2	11432	570	890
11432	1	11431	1490	190
11501	1	11000	1310	1090
11501	2	11515	190	150
11501	3	11516	170	310
11501	4	11517	170	330
11502	1	11512	1550	350
11502	2	11518	430	330
11502	3	11520	150	250
11502	4	11519	190	130
11502	5	11521	170	330
11503	1	11513	410	130
11503	2	11522	390	170
11503	4	11523	410	410
11504	1	11523	150	310
11504	2	11524	250	410
11504	3	11505	1250	3030
11505	1	11504	410	230
11505	2	11527	650	370
11505	3	11528	230	290
11505	4	11525	170	330
11506	1	11525	370	170
11506	2	11508	1250	1770
11507	1	11525	650	330
11507	2	11509	190	1630
11508	1	11526	550	410
11508	2	11506	410	150
11508	3	11529	150	330
11509	1	11507	1490	350
11509	2	11529	390	450
11512	1	11517	630	330
11512	2	11502	130	1010
11513	1	11521	390	150
11513	2	11503	2070	2450
11514	1	11431	230	210
11514	2	11529	630	330
11515	1	11501	2910	2450
11516	1	11501	3990	1010
11517	1	11501	4010	1650
11517	2	11512	170	350
11518	1	11502	150	1630
11519	1	11502	2090	2410
11520	1	11502	4010	1010
11521	1	11502	3990	2290
11521	2	11513	430	1130
11522	1	11503	2930	1790
11523	1	11503	2910	170
11523	2	11504	1510	1630
11525	1	11505	3170	350
11525	2	11506	430	1130
11525	3	11507	150	330
11526	1	11508	130	330
11527	1	11505	150	2270
11528	1	11505	3190	1630
11529	1	11514	150	350
11529	2	11508	2350	350
11529	3	11509	430	130
11531	1	11000	2230	690
11531	2	11537	150	290
11531	3	11539	650	330
11532	1	11539	390	450
11532	2	11538	130	250
11532	3	11541	630	330
11532	4	11540	390	190
11533	1	11542	390	450
11533	2	11541	150	330
11533	3	11543	370	150
11534	1	11543	170	310
11534	2	11013	1470	250
11535	1	11539	150	330
11535	2	11542	630	330
11535	3	11541	370	150
11536	1	11540	170	330
11536	2	11541	390	450
11536	3	11543	630	330
11536	4	11544	190	130
11537	1	11531	2370	330
11538	1	11532	2370	1010
11539	1	11531	150	350
11539	2	11535	2350	350
11539	3	11532	1250	150
11540	1	11532	1250	1810
11540	2	11536	2330	1010
11541	1	11532	150	990
11541	2	11535	1250	1130
11541	3	11533	2350	1030
11541	4	11536	1250	150
11542	1	11535	150	350
11542	2	11533	1250	170
11543	1	11533	1250	1790
11543	2	11536	170	1010
11543	3	11534	1530	350
11544	1	11536	1250	1810
11551	1	11571	150	350
11551	2	11559	390	450
11551	3	11562	610	330
11552	1	11560	410	470
11552	2	11559	370	190
11553	1	11559	170	310
11553	2	11562	370	190
11553	3	11565	610	350
11554	1	11562	390	430
11554	2	11563	190	170
11554	3	11564	390	150
11556	1	11565	390	450
11556	2	11569	590	330
11556	3	11568	610	330
11557	1	11568	170	330
11557	2	11570	610	330
11558	1	11570	370	190
11558	2	11000	2610	490
11559	1	11551	1250	190
11559	2	11552	1250	1750
11559	3	11553	2290	350
11560	1	11552	2090	170
11562	1	11553	1270	1130
11562	2	11551	190	1010
11562	3	11554	1250	250
11563	1	11554	2070	1770
11564	1	11554	430	1790
11565	1	11553	170	350
11565	3	11556	1250	170
11565	2	11555	2330	990
11568	1	11556	170	1010
11568	2	11557	1510	350
11569	1	11556	170	1650
11570	1	11558	430	1130
11570	2	11557	170	350
11571	1	11551	2330	1650
11571	2	11000	2730	570
11581	1	11587	390	210
11581	2	11586	370	390
11581	3	11003	210	190
11582	1	11586	230	330
11582	2	11584	3190	1010
11583	1	11585	3170	1010
11583	2	11587	250	350
11583	4	11585	3170	1010
11584	1	11582	170	1010
11585	1	11583	190	1010
11586	1	11581	1270	190
11586	2	11582	3150	1010
11587	1	11583	3150	1010
11587	2	11581	1250	3010
11801	1	11000	350	1670
11801	2	11802	1270	1090
11801	3	11001	110	650
11802	1	11801	190	190
11811	1	11000	450	1410
11821	1	11822	2350	290
11821	2	11000	2470	530
11821	3	11823	2150	1190
11822	1	11821	350	1070
11823	1	11821	210	210
11831	1	11000	1870	1410
11831	2	11832	290	1130
11832	1	11831	3190	310
11840	1	11000	970	1490
11841	1	11000	970	1490
12000	1	12031	1150	870
12000	3	12501	1290	1150
12000	4	13000	1530	250
12000	5	12061	150	890
12000	6	12011	1190	890
12000	7	12041	990	710
12000	8	12021	110	630
12000	9	12851	630	510
12000	10	12421	150	810
12000	11	12431	1150	810
12000	12	12001	170	1630
12000	13	12401	190	570
12000	14	12441	730	290
12000	15	12411	670	570
12000	16	12441	190	410
12000	17	12811	2090	2390
12000	18	12831	1310	2410
12000	19	12881	210	1150
12000	20	12861	1250	1730
12000	21	12871	3050	1170
12000	22	12801	250	1790
12000	23	12842	710	430
12000	24	12821	2350	290
12000	25	12806	2090	3670
12000	26	12051	210	990
12000	27	13000	1550	170
12000	30	11000	450	1230
12000	32	12000	1570	1130
12000	33	12000	1770	1130
12000	34	12901	1490	230
12000	36	11000	1530	70
12000	37	12992	150	1850
12000	38	12721	1370	1210
12000	39	49916	230	150
12001	1	12000	1230	590
12001	2	12807	270	250
12001	3	12802	350	310
12001	4	12004	450	450
12001	5	12005	850	530
12001	6	12007	410	530
12001	7	12009	430	390
12001	8	12015	350	410
12001	9	12204	410	410
12001	10	12223	370	430
12001	11	12263	370	410
12001	12	12002	1170	510
12001	14	12139	350	410
12001	15	12711	390	730
12002	1	12018	430	470
12002	2	12001	110	910
12002	3	12304	230	470
12002	4	12136	370	430
12002	5	12003	1210	830
12003	1	12002	130	370
12003	2	12808	350	1690
12003	3	12137	370	390
12003	4	12244	450	510
12003	5	12102	470	410
12003	6	12179	470	410
12003	7	12180	970	650
12003	9	49917	350	370
12004	1	12001	1110	270
12005	1	12001	690	150
12007	1	12001	370	890
12009	1	12001	1010	810
12011	1	12000	830	1490
12011	2	12202	430	410
12011	3	12174	470	410
12011	4	12133	450	430
12011	5	12242	430	530
12011	6	12302	210	470
12011	7	12173	350	410
12011	8	12282	850	470
12011	9	12262	470	410
12011	10	12222	470	430
12011	11	12012	90	790
12011	13	12991	650	830
12011	14	12891	1490	310
12012	1	12011	1210	110
12012	2	12013	230	1170
12013	2	12012	1250	530
12013	1	12521	170	1630
12015	1	12001	2210	470
12018	1	12002	230	330
12021	1	12022	210	570
12021	2	12000	1710	1750
12022	1	12021	890	110
12022	2	12203	430	410
12022	3	12243	390	530
12022	4	12175	490	410
12022	5	12303	230	470
12022	6	12134	370	430
12022	7	12023	110	730
12023	1	12022	810	490
12031	1	12825	1330	1170
12031	2	12177	530	390
12031	3	12176	350	410
12031	4	12000	1130	210
12041	1	12000	310	1370
12041	2	12135	370	430
12041	3	12042	2070	1090
12042	1	12041	990	130
12042	2	12511	2910	3130
12051	1	12000	1530	1270
12051	2	12310	270	450
12061	1	12000	750	2170
12061	2	12062	90	470
12061	3	12171	350	410
12061	4	12132	470	410
12061	5	12131	470	410
12061	6	12990	150	690
12061	7	12201	410	410
12061	8	12241	410	530
12061	9	12091	610	1210
12062	1	12061	1530	530
12062	2	12063	110	410
12062	3	12221	470	430
12062	4	12281	870	470
12062	5	12101	470	410
12062	6	12261	470	410
12062	7	12172	490	410
12063	1	12062	1190	450
12063	2	12301	250	510
12063	3	12064	530	1470
12064	1	12911	1290	790
12064	2	12063	1230	370
12064	3	12065	310	90
12065	1	12103	350	390
12065	2	12138	450	410
12065	3	12104	490	430
12065	4	12064	1830	1470
12065	5	12140	390	390
12091	1	12061	210	110
12091	2	12092	1530	510
12092	1	12091	370	390
12092	2	12093	950	650
12093	1	12094	210	1590
12093	2	12092	170	370
12094	1	12093	610	350
12094	2	12096	210	390
12094	3	12106	450	410
12094	4	12105	330	430
12095	1	12097	770	190
12096	1	12094	770	190
12096	2	12097	170	1610
12097	1	12096	1110	390
12097	2	12107	350	430
12097	3	12108	450	430
12097	4	12095	650	890
12101	1	12062	670	350
12102	1	12003	530	130
12103	1	12065	330	450
12104	1	12065	170	270
12105	1	12094	670	1130
12106	1	12094	170	690
12107	1	12097	670	1130
12108	1	12097	170	690
12131	1	12061	1310	490
12132	1	12061	1310	870
12133	1	12011	910	190
12134	1	12022	810	410
12135	1	12041	1350	450
12136	1	12002	430	330
12137	1	12003	1130	450
12138	1	12065	650	370
12139	1	12001	2310	890
12140	1	12065	770	330
12171	1	12061	1250	1030
12172	1	12062	1170	350
12173	1	12011	990	170
12174	1	12011	1110	130
12175	1	12022	390	330
12176	1	12031	910	270
12177	1	12031	550	410
12179	1	12003	370	190
12180	1	12003	230	230
12201	1	12061	1170	570
12202	1	12011	1170	350
12203	1	12022	110	530
12204	1	12001	1870	750
12221	1	12062	290	370
12222	1	12011	210	710
12223	1	12001	2170	850
12241	1	12061	1510	490
12242	1	12011	750	230
12243	1	12022	270	410
12244	1	12003	710	150
12261	1	12062	850	350
12262	1	12011	310	670
12263	1	12001	630	970
12281	1	12062	530	350
12282	1	12011	110	490
12301	1	12063	570	370
12302	1	12011	190	270
12303	1	12022	590	210
12304	1	12002	1050	450
12310	1	12051	1090	270
12401	1	12000	2110	510
12401	2	12402	130	490
12402	1	12401	1510	130
12402	2	12403	110	370
12403	1	12402	1470	530
12403	2	12404	450	410
12404	1	12403	230	270
12411	1	12000	1770	1410
12411	2	12412	690	570
12412	1	12411	130	570
12412	2	12413	730	550
12413	1	12412	110	470
12421	1	12000	2190	190
12421	2	12815	250	1710
12421	4	54830	150	1150
12431	1	12000	190	1930
12431	4	12432	110	510
12441	1	12000	1010	1130
12441	2	12000	1110	1210
12501	1	12000	490	790
12501	2	12505	630	330
12511	1	12042	310	270
12511	2	12518	370	210
12511	3	12519	390	470
12511	4	12517	370	190
12511	5	12516	610	330
12512	1	12517	390	470
12513	1	12516	170	330
12514	1	12518	370	450
12515	1	12519	390	210
12516	1	12511	170	2330
12516	2	12513	2310	990
12517	1	12511	2070	3070
12517	2	12512	1270	830
12518	1	12511	4570	2390
12518	2	12514	1270	190
12519	1	12511	4570	890
12519	2	12515	430	1750
12581	1	12582	2390	990
12581	2	12861	190	230
12582	1	12581	90	1010
12582	2	12583	610	330
12582	3	12584	650	310
12583	1	12582	170	330
12583	2	12585	3170	370
12583	3	12587	430	1110
12584	1	12582	150	1610
12584	2	12585	3170	1650
12584	3	12588	410	190
12585	1	12583	210	330
12585	2	12584	190	330
12585	3	12586	1490	350
12586	1	12585	190	1010
12587	1	12583	370	190
12588	1	12584	390	430
12588	2	12589	410	150
12589	1	12588	410	1770
12591	1	12808	1510	330
12591	2	12592	210	330
12592	1	12591	2310	1030
12592	2	12593	210	1030
12593	1	12592	610	350
12701	1	12992	1530	290
12701	2	12702	250	450
12701	3	12703	650	550
12701	4	12704	590	430
12701	5	12705	250	430
12701	6	12706	250	430
12702	1	12701	670	370
12703	1	12701	250	610
12704	1	12701	250	330
12705	1	12701	1070	470
12706	1	12701	870	770
12711	1	12001	1810	330
12721	1	12000	1530	2070
12801	1	12000	830	510
12801	2	12804	210	350
12802	1	12001	2330	590
12802	2	12803	350	290
12803	1	12802	1270	1110
12803	2	12807	2310	330
12804	1	12801	2310	230
12804	2	12805	190	230
12805	1	12804	2330	330
12806	1	12000	770	530
12806	2	12830	1390	1850
12807	1	12001	2210	1650
12807	2	12803	370	1050
12808	1	12003	1210	150
12808	2	12591	210	1010
12811	1	12000	2350	430
12815	1	12421	550	550
12815	2	12816	1450	2410
12815	5	19000	250	1630
12816	1	12817	190	1150
12816	2	12815	170	170
12817	1	12818	190	1790
12817	2	12816	1490	170
12818	1	12819	190	190
12818	2	12817	3150	170
12819	1	12818	1510	1790
12819	2	12820	210	190
12820	1	12819	3150	1130
12821	1	12000	490	990
12821	2	12822	2330	330
12822	1	12821	250	190
12822	2	12823	1390	290
12823	1	12822	230	350
12823	2	12824	310	270
12824	1	12823	1290	1110
12825	1	12031	150	310
12825	2	12826	2990	1190
12826	1	12825	190	190
12826	2	12827	1350	1190
12827	1	12826	150	170
12827	2	12828	1530	290
12828	1	12827	250	1150
12828	2	12829	190	190
12829	2	12830	190	190
12829	1	12828	1310	2470
12830	1	12829	2170	1190
12830	2	12806	190	190
12831	1	12000	1170	1850
12841	1	12842	130	310
12842	1	12000	510	2110
12842	2	12841	2970	1150
12851	1	12000	530	2650
12851	2	12852	2950	1110
12861	1	12000	230	2270
12861	2	12581	3090	1010
12861	4	12862	290	2410
12862	1	12861	1510	290
12871	1	12000	230	2670
12881	1	12000	30	3170
12881	4	12882	270	1150
12882	1	12881	3190	290
12891	1	12011	110	490
12901	1	12000	250	2730
12911	1	12064	390	350
12929	1	12828	1310	2470
12990	1	12061	1330	1170
12991	1	12011	90	210
12992	1	12000	1270	170
12992	2	12701	170	790
13000	1	12000	730	2970
13000	2	22000	2150	1170
13000	3	11000	70	1750
13000	4	13411	890	650
13000	5	13003	150	430
13000	6	13421	1090	770
13000	7	13441	110	530
13000	8	13011	110	650
13000	9	13821	1290	2410
13000	10	13461	130	590
13000	11	13021	870	650
13000	12	13061	270	930
13000	13	13801	1310	1790
13000	14	13871	2190	1830
13000	15	13851	2190	1150
13000	16	13811	1310	2450
13000	17	13504	150	330
13000	18	13501	150	990
13000	19	13831	2310	370
13000	20	13841	3010	1150
13000	21	13861	2350	350
13000	22	13511	1270	1150
13000	23	13881	4610	1130
13000	24	13451	190	1090
13000	25	15403	170	770
13000	27	21501	110	270
13000	28	13471	890	590
13000	29	13491	230	230
13001	1	13434	130	430
13001	2	13002	1330	710
13002	1	13001	130	130
13002	2	13201	410	410
13002	3	13261	350	410
13002	4	13241	390	530
13002	5	13171	330	410
13002	6	13221	470	410
13002	7	13131	370	410
13002	8	13102	350	410
13002	9	13281	870	450
13002	10	13301	610	450
13002	11	13101	470	410
13002	12	13003	1190	370
13002	13	13004	1230	130
13003	1	13002	110	330
13003	2	13302	630	770
13003	3	13000	590	610
13004	1	13002	210	1070
13004	2	13990	110	850
13004	3	13182	350	410
13004	4	13137	430	370
13004	5	13181	470	390
13004	6	13138	410	310
13491	1	13000	370	350
13491	2	13000	422	495
15000	1	15510	1250	1770
15000	17	15481	690	470
15000	3	15471	230	1170
15000	4	15401	1130	770
15000	5	15411	670	550
15000	6	15801	170	510
15000	7	15031	1610	910
15000	8	15521	2090	1750
15000	9	15011	190	610
15000	10	15831	190	1790
15000	11	15001	810	630
15000	12	15541	410	1790
15000	13	15441	210	490
15000	14	15821	3070	1170
15000	15	15021	150	630
15000	16	15421	1390	1010
15000	18	15451	2350	1830
15000	19	15851	2170	1150
15000	20	15841	3990	350
15000	21	15491	710	690
15000	22	15431	1390	570
15000	25	18801	290	230
15000	30	15701	190	1870
15000	26	18000	910	1550
15000	27	18000	3410	1210
15000	28	15861	2090	1730
15000	29	15871	270	230
15000	2	11000	2750	1830
15000	23	15901	1510	230
15000	24	15491	710	690
15000	32	15881	2350	270
15000	33	15711	2270	1170
15481	1	15000	2330	1770
15481	5	18000	2570	730
18000	2	18001	170	1170
18000	12	18401	670	1110
18000	1	18011	790	630
18000	3	18851	90	530
18000	4	18411	330	770
18000	5	18041	530	590
18000	6	18051	470	830
18000	7	18031	150	1130
18000	8	18021	210	610
18000	9	18421	710	550
18000	10	18441	150	590
18000	11	18451	830	790
18000	13	18432	750	550
18000	14	18436	190	510
18000	15	18803	3990	310
18000	16	18861	150	1830
18000	17	18806	290	470
18000	18	18826	150	1830
18000	19	18818	1510	290
18000	20	18816	250	2410
18000	21	18821	150	1830
18000	22	18841	3170	1810
18000	23	18831	310	270
18000	24	18811	290	250
18000	25	18836	190	190
18000	26	18521	370	1810
18000	27	18511	390	2430
18000	28	15000	3182	2035
18000	29	18846	230	2450
18000	31	16000	650	110
18000	33	21000	2290	970
18000	34	18856	190	1190
18000	35	18461	970	590
18000	36	26000	4830	1630
18000	30	15000	870	2530
18001	2	18000	2210	530
18001	3	18131	370	410
18001	4	18301	270	510
18001	5	18002	130	450
18001	6	18261	470	410
18001	7	18241	430	510
18001	8	18115	370	430
18001	1	18990	770	850
18002	1	18001	1490	1070
18002	2	18101	370	390
18002	3	18132	390	370
18002	4	18221	370	410
18002	5	18102	350	390
18002	6	18201	430	390
18002	7	18871	330	270
18002	8	18171	370	410
18115	1	18001	150	130
18131	1	18001	270	190
18241	1	18001	950	210
18261	1	18001	730	330
18301	1	18001	1370	310
18401	1	18000	1910	630
18401	2	18402	910	790
18402	1	18401	1030	110
18402	2	18403	190	1150
18403	1	18402	590	110
18403	2	18404	290	430
18403	3	18405	470	970
18404	1	18403	1070	510
18405	1	18403	1490	810
19000	1	19831	210	210
19000	2	19821	250	2370
19000	3	19811	230	230
19000	4	19011	170	850
19000	5	19001	1210	1090
19000	6	19801	2250	1730
19000	7	19021	990	750
19000	8	19511	2290	370
19000	9	19513	2090	3070
19000	10	19501	210	1630
19000	11	12815	2350	150
19000	12	19521	2090	2430
19000	13	19535	2050	2450
19000	14	19535	1810	290
19000	15	19541	2090	1810
19001	1	19000	1610	870
19001	2	19002	910	590
19001	4	19133	350	410
19002	1	19001	250	150
19002	2	19301	250	450
19002	3	19261	370	410
19002	4	19171	350	410
19002	5	19101	450	390
19002	6	19241	410	510
19011	1	19172	330	390
19011	2	19173	390	290
19011	3	19132	430	390
19011	4	19174	370	390
19011	5	19000	1890	550
19021	1	19000	1110	650
19021	2	19176	250	510
19021	3	19175	570	530
19021	4	19178	570	530
19021	5	19179	570	510
19021	6	19177	250	510
19101	1	19002	170	170
19132	1	19011	1070	350
19133	1	19001	1190	770
19171	1	19002	410	150
19172	1	19011	310	410
19173	1	19011	630	230
19174	1	19011	770	730
19175	1	19021	610	370
19176	1	19021	1050	330
19177	1	19021	1050	610
19178	1	19021	210	470
19179	2	19021	410	770
19241	1	19002	290	530
19261	1	19002	550	250
19301	1	19002	790	350
19401	1	19861	1390	1050
19411	1	19851	210	190
19411	2	19412	1470	1090
19412	1	19411	90	570
19413	1	19851	270	1050
19413	2	19852	2290	190
19501	1	19000	2270	730
19501	2	19502	190	350
19501	3	19503	190	350
19502	1	19501	3110	1010
19502	2	19504	230	1010
19503	1	19501	3190	2270
19503	2	19507	190	990
19504	1	19502	650	370
19504	2	19505	410	490
19505	1	19506	1270	1090
19505	2	19504	2090	190
19506	1	19505	430	190
19507	1	19503	630	370
19507	2	19508	410	190
19508	1	19507	2090	1770
19508	2	19509	1250	170
19509	1	19508	430	490
19509	2	19861	250	250
19511	1	19512	410	150
19511	2	19000	310	1150
19512	1	19513	430	150
19512	2	19511	430	1110
19513	1	19000	430	1350
19513	2	19512	430	490
19521	1	19000	390	910
19521	2	19522	430	470
19522	1	19521	1250	210
19522	2	19523	2090	1730
19523	1	19522	430	190
19523	2	19524	610	370
19524	1	19523	190	370
19524	2	19525	430	1750
19524	3	19526	3930	1070
19526	1	19524	210	370
19526	2	19527	430	490
19526	3	19529	430	170
19526	4	19851	3090	250
19527	1	19528	1250	1710
19527	2	19526	2910	230
19528	1	19527	410	190
19529	1	19526	2910	1770
19529	2	19530	1250	210
19530	1	19529	430	470
