name 	type 	id 	prop1 	prop1_val 	prop2 	prop2_val 	element 	elem_val 	contribute 	sellprice 	equippos 	level 	BuyingPrice 	SellingPrice 	ItemDescription 	unk1 	unk2 	unk3 	unk4 	unk5 	unk6 	unk9 	unk10 	unk11 	unk12 	unk13 	unk14 	unk15 	unk16
	0	0	0	-100	0	-100	0	-100	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dấu Chấm Hỏi	47	10000	210	0	0	0	0	-100	1	1	0	0	0	0	Những vật phẩm không biết tên	0	0	0	0	31	0	0	0	0	0	0	0	0	0
Cuốc	39	10001	210	0	0	0	0	-100	1	1	3	0	10	1	Công cụ có công dụng rộng	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Ðoản đao 	1	10002	210	2	0	0	0	-100	1	1	3	0	10	1	Loại đao nhỏ có thể dấu trong người	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ngắn vàng	1	10003	210	3	0	0	0	-100	1	2	3	3	20	2	Ngắn hơn đao thường, thích hợp phòng thân	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ðồng Hoàn 	1	10004	210	4	0	0	0	-100	1	3	3	5	50	3	Ðao tập võ sơ cấp,cáng đao có khoen đồng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Phong Ðộng	1	10005	210	5	0	0	0	-100	1	4	3	10	85	4	Ðao tập võ sơ cấp,cáng đao có đồng xanh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hắt Thiết	1	10006	210	6	0	0	0	-100	1	5	3	15	145	5	Ðao tập võ thường,thân đao màu đen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Xích Tinh	1	10007	210	7	0	0	0	-100	1	6	3	20	245	6	Hơi nặng,không tiện khi múa kiếm	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Nghi Phong 	1	10008	210	8	0	0	0	-100	1	7	3	25	420	7	Loại đao có mặt đao mỏng và nhẹ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hàn Sương 	1	10009	210	9	0	0	0	-100	1	8	3	30	700	8	Làm bằng sắt nóng đông lạnh,vô cùng bén 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Lưu Kim 	1	10010	210	10	0	0	0	-100	1	9	3	35	1200	9	Phát ra ánh sáng lấp lánh khi vẩy múa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao quang Ma 	1	10011	210	11	0	0	0	-100	1	10	3	40	2050	10	Tương truyền là đao từng giết qua yêu ma	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Nhọn	1	10012	210	2	0	0	0	-100	1	1	3	0	10	1	Loại quân bị từng trải qua chiến tranh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ngắn Tím	1	10013	210	3	0	0	0	-100	1	2	3	3	20	2	Loại đao mà mặt đao được đính đá tím	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hoàng Nhật 	1	10014	210	4	0	0	0	-100	1	3	3	5	50	3	Binh khí cương mãnh,lưỡi đao màu vàng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ðịa Long 	1	10015	210	5	0	0	0	-100	1	4	3	10	85	4	Vũ khí sang trọng,có khắc hình rồng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Giang Ngạc 	1	10016	210	6	0	0	0	-100	1	5	3	15	145	5	Binh khí uy mãnh cáng là đầu cá sấu	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Cự Nghiêm	1	10017	210	12	0	0	0	-100	1	11	3	45	3480	11	Ðao quý với nham thạch cứng bên trong	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Chinh Ngạn 	1	10018	210	13	0	0	0	-100	1	12	3	50	5900	12	Loại đao quý với thân đao dài	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hạc Minh 	1	10019	210	14	0	0	0	-100	1	13	3	55	8800	13	Loại đao có cáng hình mỏ con hạc tiên	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Lưu Tinh 	1	10020	210	15	0	0	0	-100	1	14	3	60	13300	14	Ðao quý thường phát ra ánh sáng sao băng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Danh Hoặc 	1	10021	210	16	0	0	0	-100	1	15	3	65	19900	15	Ðao bén tượng trưng cho sao danh hoặc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hổ khiếu 	1	10022	210	17	0	0	0	-100	1	16	3	70	99999	16	Binh khí uy mãnh,cáng đao làm từ da hổ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Phụng Minh 	1	10023	210	18	0	0	0	-100	1	17	3	75	42000	17	Hơi nặng,không tiện khi múa kiếm	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Kinh Kha	1	10024	210	19	0	0	0	-100	1	18	3	80	58800	18	Ðao mà Kinh Kha sử dụng,vô cùng sắc bén	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Mã Viện 	1	10025	210	20	0	0	0	-100	1	19	3	85	76400	19	Ðao Mã Viên yêu thích,nặng và cương mãnh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hạng Vương	1	10026	210	21	0	0	0	-100	1	20	3	90	99000	20	Ðao quý của Hạng Vũ,sức mạnh vô cùng lớn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Xung Hãi 	1	10027	210	22	0	0	0	-100	1	21	3	93	129000	21	Ðao thân dài và hẹp,thích hợp xung phong	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Chấn Cổ 	1	10028	210	23	0	0	0	-100	1	22	3	96	167000	22	Ðao dài 4 thước phát ra hàn quang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Cổ Ðịnh 	1	10029	210	24	0	0	0	-100	1	23	3	99	218000	23	Ðao mà Tôn Kiên rất thích sử dụng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Binh Thánh 	1	10030	210	25	0	0	0	-100	1	24	3	102	283000	24	Ðao của Tôn Võ,khí phái uy nghiêm	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Văn Khúc 	1	10031	210	26	0	0	0	-100	1	25	3	105	368000	25	Ðao ngắn cáng có hình sao Văn Khúc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Chuẩn Âm 	1	10032	210	27	0	0	0	-100	1	26	3	108	479000	26	Ðao của Hàn Tính,có rèn đá quý	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ðiêu Long 	1	10033	210	28	0	0	0	-100	1	27	3	111	623000	27	Ðao quý được điêu khắc tinh xảo	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Cửu Hoàn 	1	10034	210	29	0	0	0	-100	1	28	3	114	810000	28	Ðao quý có đính 9 viên ngọc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Thất Tinh 	1	10035	210	30	0	0	0	-100	1	29	3	117	1050000	29	Ðao Tào Tháo sử dụng để giết Ðổng Trác	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hỏa Ðức 	1	10036	210	31	0	0	0	-100	1	30	3	120	1360000	30	Ðao luyện từ những Hỏa thạch thượng đẳng	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Trắc Thí Ðao 	1	10037	210	0	0	0	0	-100	1	1	3	0	0	1	Ðao kiểm tra độ chính xác	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Vũ khí hỏng	1	10038	210	32	0	0	0	-100	1	31	3	123	1780000	31	Vũ khí hỏng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Xích Ðế 	1	10039	210	33	0	0	0	-100	1	32	3	126	2310000	32	Tương truyền là đao quý của Lưu Bang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Ngự Ðế 	1	10040	210	34	0	0	0	-100	1	33	3	129	3000000	33	Ðao Hán Võ Ðế dùng để chỉ huy đại quân	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hô Ma 	1	10041	210	35	0	0	0	-100	1	34	3	132	3910000	34	Ðao ma hắt ám có cảm giác rét lạnh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Thiên Ðãng 	1	10042	210	36	0	0	0	-100	1	35	3	135	5080000	35	Ðao làm từ khoáng thạch ở Thiên Ðãng Sơn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao TuyệThuyết 	1	10043	210	14	0	0	0	-100	1	13	3	55	8800	13	Vũ khí làm từ đá sao băng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Bái Lang 	1	10044	210	9	0	0	5	2	1	8	3	30	0	8	Ðược những nam nhi trên biển ưa chuộng	0	0	0	0	8	0	0	0	0	0	0	0	1	0
Hương Dũng Ðao 	1	10045	210	2	0	0	5	1	1	1	3	0	0	1	Gươm đao tùy thân cần thiết của binh sĩ	0	0	0	0	95	0	0	0	0	0	0	0	0	0
Tiểu Ðao 	1	10046	210	24	0	0	0	-100	1	23	3	99	218000	23	Tiểu đao hợp nhất cho người mới học	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viện Kim Ðao 	1	10047	210	19	0	0	5	2	1	18	3	80	0	18	Kim đao của Quan Vũ ban tặng danh tướng	0	0	0	0	8	0	0	0	0	0	0	0	3	0
Chí Quân Ðao 	1	10048	210	14	0	0	0	-100	1	13	3	0	0	13	Gươm đao tuỳ thân của binh sĩ thăng cấp	0	0	0	0	63	0	0	0	0	0	0	0	0	0
Ðoạt Hồn Ðăng	1	10485	210	32	214	5	0	-100	1	29	3	117	0	29	Ðèn lồng toả ánh hồng quang,biến hoá	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Nhip Ðăng Lung 	1	10486	212	32	214	5	0	-100	1	29	3	117	1050000	29	Ðèn lồng toả ánh sáng xanh,biến hoá	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Tân Vương Hoa	1	10487	210	15	207	20	0	-100	1	14	3	60	0	14	Vòng hoa tinh xảo tặng Tân Nhân Vương 	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Bồ Thần Trảo	1	10488	210	35	0	0	0	-100	1	29	3	117	1050000	29	Móng sắt chỉ dũng sĩ Thần Ðao Thiên Sinh mớidùng	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Dương Trượng	1	10489	212	36	210	-5	0	-100	21	29	3	117	0	29	Ðao sức phá lớn,không cẩn sẽ tự diệt	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Súng XP	1	10490	210	45	0	0	0	-100	1	29	3	117	0	29	Vũ khí tương lai,tính sát hại cực mạnh 	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Bút Phán Quan	1	10491	212	50	211	-15	0	-100	3	29	3	117	0	29	Khi sử dụng, tốc độ chém vượt hơn tốc gió	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Kiếm Lang Nga	1	10492	210	29	214	8	0	-100	1	29	3	117	0	29	Cây sắc dài có gai nhọn	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Long Bảo Ðiển	1	10493	212	33	210	3	0	-100	4	29	3	117	0	29	Xung quanh đao có thể tích tụ cát trần	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Quạt Bạch Phượng	1	10494	212	30	214	3	0	-100	5	29	3	117	0	29	Có uy lực một phát Phá Sóng	0	0	0	0	8	0	0	0	0	0	0	0	0	0
