name 	type 	id 	image1 	image2 	color1 	color2 	color3 	color4 	notPet 	unk5 	unk6 	lvl 	hpmax 	spmax 	hpx 	spx 	int 	atk 	def 	agi 	doanhtrai 	exp_bonus 	element 	skill1 	skill2 	skill3 	drop 	drop 	drop 	drop 	drop 	drop 	unk1 	skill4 	reborn 	unk2 	unk3
Trương Giác	1	10001	1051	1001	444444444	444444444	444444444	444444444	0	2	3	120	1299	591	30	44	70	30	46	50	4	2760	1	10006	10008	10013	0	0	0	48005	0	47003	0	0	0	0	0
Trương Bảo	1	10002	1050	1001	444444444	444444444	444444444	444444444	0	2	1	110	1075	467	27	29	65	38	44	47	4	2530	2	11005	11008	11011	0	0	0	0	0	47096	0	0	0	0	0
Trương Lương	1	10003	1050	1001	444636444	444363444	444444444	444444444	0	2	2	102	931	474	31	33	60	33	39	42	4	2346	3	12009	12010	12011	0	0	0	0	0	47097	0	0	0	0	0
Trình Viễn Chí	1	10004	1049	1001	444646444	671222111	111991771	444444444	0	2	5	53	335	215	19	9	7	31	21	21	4	1219	1	10002	10003	10007	27061	26156	26042	0	49001	0	0	0	0	0	0
Ðặng Mậu	1	10005	1098	1001	444444344	444774662	662444444	444444444	0	15	2	49	354	174	26	3	4	28	22	17	4	1127	1	10001	10003	10006	26156	26158	27038	0	49001	0	0	0	0	0	0
TrươngMạnThành	1	10006	1086	1001	444661444	566662772	556870444	444444444	0	2	6	72	484	256	24	9	11	52	38	35	4	1656	1	10003	10006	10008	26033	26035	26170	0	49001	47098	0	0	0	0	0
Mã Ng Nghĩa	1	10007	1004	1001	444222444	871444773	444444444	444444444	0	9	2	70	474	275	24	13	12	49	33	34	4	1610	4	13001	13004	13006	26034	26036	27005	0	49001	47099	0	0	0	0	0
Quách Ðại	1	10008	1065	1001	880444444	444147444	147444444	444444444	0	1	2	47	306	206	19	10	6	24	18	19	4	1081	2	11002	11003	11006	26005	27061	0	49001	46034	47016	0	0	0	0	0
Cao Thăng	1	10009	1003	1001	661444444	147147662	661444444	444444444	0	2	4	48	313	217	19	12	9	26	16	16	4	1104	1	10001	10003	10007	26005	0	0	49001	46034	0	0	0	0	0	0
Bùi Ng Thiệu	1	10010	1054	1001	444444444	663444663	333444444	444444444	0	15	1	52	340	212	21	9	13	28	17	18	4	1196	1	10001	10002	10006	27061	26158	26035	0	49001	0	0	0	0	0	0
Bo Tài	1	10011	1065	1001	444444333	555778444	667444555	444444444	0	1	7	37	241	159	15	5	9	20	13	14	4	851	4	13001	13004	13006	26008	27003	27036	40020	49001	0	0	0	0	0	0
Tôn Trọng	1	10012	1065	1001	880444544	444711444	622444511	444444444	0	1	4	40	260	189	16	10	10	19	12	15	4	920	3	12001	12002	12003	26008	27055	27036	40021	49001	47015	0	0	0	0	0
Trương Hỷ	1	10013	1003	1001	664156444	664222763	333444333	444444444	0	2	5	60	371	241	20	11	13	34	27	30	4	1380	1	10001	10003	10006	26047	27003	27036	0	49001	0	0	0	0	0	0
Hà Nghi	1	10014	1003	1001	141444444	141151762	652444333	444444444	0	2	5	58	368	248	21	13	11	31	23	19	4	1334	4	13001	13004	13006	26168	0	0	0	49001	0	0	0	0	0	0
Triệu Hoằng	1	10015	1077	1001	444444444	661872444	872444444	444444444	0	8	2	59	400	256	26	14	5	30	25	20	4	1357	1	10002	10003	10006	27005	27066	27032	0	49001	0	0	0	0	0	0
Hàn Trung	1	10016	1065	1001	444444444	141875444	663444444	444444444	0	1	5	55	360	242	22	13	7	32	24	14	4	1265	4	13001	13002	13006	26100	27005	27036	0	49001	47017	0	0	0	0	0
Quản Hợi	1	10017	1106	1001	444525444	444616444	771444525	444444444	0	8	5	78	526	334	26	20	32	38	35	30	4	1794	1	10003	10006	10008	27038	27058	26068	0	0	47351	0	0	0	0	0
Triệu V.Khương	1	10018	1089	1001	444554656	664444333	444444444	444444444	0	18	1	93	763	389	37	23	26	60	36	44	4	2139	1	10002	10008	10011	32006	0	0	48006	49001	47004	0	0	0	0	0
Hà Hỷ	1	10019	1098	1001	444262454	131444141	662444444	444444444	0	15	1	52	340	231	21	12	7	31	15	19	4	1196	4	13001	13004	13006	27007	0	0	0	49001	0	0	0	0	0	0
Lưu Tích	1	10020	1079	1001	444444444	642444753	662444444	444444444	0	15	6	55	349	242	20	13	7	30	21	20	4	1265	1	10002	10003	10006	26003	27062	27037	0	0	0	0	0	0	0	0
Từ Hòa	1	10021	1079	1001	444626444	444885663	444444444	444444444	0	15	4	53	346	238	21	13	18	22	18	16	4	1219	1	10001	10002	10006	27061	27066	27025	0	0	0	0	0	0	0	0
Tư Mã Ðều	1	10022	1085	1001	663113444	141663771	663252242	444444444	0	2	2	62	363	274	17	16	32	16	29	29	4	1426	4	13001	13004	13006	27061	26047	26054	0	0	0	0	0	0	0	0
Trần Bại	1	10023	1081	1001	644444444	611770522	550444444	444444444	0	15	6	61	400	232	24	9	11	42	26	25	4	1403	3	12002	12004	12005	27048	26022	26158	0	49001	47101	0	0	0	0	0
Vạn Tỉnh	1	10024	1065	1001	444444343	551363444	252444161	444444444	0	1	2	50	305	228	16	13	23	19	13	18	4	1150	4	13001	13004	13006	26035	27039	26003	0	49001	0	0	0	0	0	0
Mã Tương	1	10025	1165	1001	880553444	550171080	444444444	444444444	0	3	4	52	340	237	21	14	31	9	15	17	4	1196	1	10002	10003	10005	27060	26033	27061	0	49002	47100	0	0	0	0	0
Triệu Chỉ	1	10026	1029	1001	147444444	552147147	444444147	444444444	0	3	3	35	228	171	14	9	6	19	12	13	4	805	2	11001	11003	11005	26078	26003	26101	0	0	0	0	0	0	0	0
Hoàng Thiệu	1	10027	1066	1001	444111444	661811444	444444444	444444444	0	3	0	27	177	145	11	7	10	13	6	9	4	621	1	10001	10002	10003	26165	27055	27034	0	49001	0	0	0	0	0	0
Hà Mạn	1	10028	1003	1001	775444444	444522663	444444444	444444444	0	2	4	59	387	259	24	15	16	24	22	20	4	1357	1	10002	10003	10006	26168	26050	27039	34015	49001	0	0	0	0	0	0
