id 	dialog 

10001	Lưu Bị, Quan Vũ, Trương Phi, tuy là tính cách khác nhau nhưng cũng đã kết thành huynh đệ, đồng tâm hiệp lực, cứu khốn phò nguy.
10002	Muốn ta gia nhập ngươi cũng được, nhưng phải xem thực lực ngươi ra sao. Ngươi có dám đấu vài chiêu với ta không?
10003	Cha tôi nhất định bắt tôi tái giá cho Quách Dịch, làm sao đây? Huhu....
10004	Trông đời tôi khâm phục nhất là những anh hùng hảo hán, nên đặt biệt dâng tặng vũ khí, để tiến đi giết giặc.
10005	Cho dù tôi tán gia bại sản, cũng vì đất nước dâng một chút lực. Nhưng phải trắc nghiệm thực lực của ngươi, ngươi dám thử vài chiêu với ta không?
10006	Tuân Thái cô nương là con gái của Tư Ðồ Tuân Sảng, nghe nói Tuân Sảng ép cô ấy tái giá cho Quách Dịch ở Ngư Dương, nhưng cô ấy thà chết không chịu! 
10007	Tuân Thái cô nương là con gái của Tư Ðồ Tuân Sảng, nghe nói Tuân Sảng ép cô ấy tái giá cho Quách Dịch ở Ngư Dương, nhưng cô ấy thà chết không chịu! 
10008	Ái!  Ngòai thành rừng Bi có sự xuất hiện của quân khăn vàng, không dễ đối phó đó.
10009	Quân tình khẩn cấp, ngươi mau chóng đi một chuyến tới núi Thượng Sơn đi! 
10010	Ta thuộc tướng quân Thiên công, đại tướng Trình Viễn Chí, thấy quân ta còn không mau đầu hàng! 
10011	Haha, cỡ như ngươi mà dám chóng chọi với đại quân ta à! 
10012	Cứu mạng!  Mau chóng về núi Ðại Hưng rồi tính tóan.
10013	Ta thuộc tướng quân Thiên công, đại tướng Trình Viễn Chí, thấy quân ta còn không mau đầu hàng! 
10014	Hớ! Về nói với Tào Tịnh, mau sớm hiến thành đi! 
10015	Ðại hiền lương sư.............
10016	Nghĩ lúc trước, tôi là nam chinh của thôn tính thiên địa! Muốn mời tôi gia nhập thì tôi sẽ ra đề thử trí tuệ của ngươi.
10017	Nghe nói ngươi là một tên hảo hán, thì để tôi làm việc cho ngươi! 
10018	Ðây là Hòang cung Diệp Thành
10019	Tôi đang xem mấy ngươi mới loạn đấu, ngươi có xem thấy không?
10020	Ðến rồi,  đến rồi, khách quan muốn dọn món gì, tiệm này cái gì cũng có.
10021	Cấm địa hòang cung, đây không phải là nơi mà ngươi có thể đến.
10022	Ngươi là ai, dừng bước! 
10023	Nơi đây là hang núi Ðại Hưng, không có thực lực  nhất định xin đừng vào! 
10024	Chúng tôi phụng mệnh Ðịa công tướng quân cấm biển, bọn ngươi mau mau rút lui, tránh tai họa sát sinh! 
10025	Chúng tôi phụng mệnh Ðịa công tướng quân cấm biển,  bọn ngươi mau mau rút lui, tránh tai họa sát sinh! 
10026	Tôi già rồi, không biết có đợi được đến ngày thiên hạ thái bình không .
10027	Tuần la Hoàng thành là thiên chức thần thánh của tôi!  Tuyệt đối không cho phép bọn tiểu nhân thừa cơ làm loạn! 
10028	Nghe nói Trần Ðăng tiên sinh ở Diệp Thành,  người ấy là một trí dã có danh tiếng .
10029	Ðại anh hùng có thể cứu tôi không ?
10030	Hắn là người có tiền nhất nhì trong thành Trác Quận, nếu có thể lấy về thư hồi hôn, vậy thì tôi có thể được tự do rồi.
10031	Ðem thư hồi hôn của Tuân Thể cô nương cho ta, thả cho cô ấy một đường sống đi! 
10032	Ngươi là ai mà dám nói những lời lẽ như thế với ta! Về cân xem mình có đủ sức chưa! Ta là Quách Dịch. Theo ta nói lại một lần ' Quách --------'
10033	Quách cái đầu ngươi, rượu mời không uống uống rượu phạt. Xem ta đây ......
10034	Có thể lấy được thư hồi hôn trông tay Quách Dịch, có thể thấy bản lĩnh của thiếu hiệp rất cao, xin để tiểu nữ theo bên ngươi phụng sự đi ?
10035	Hihi, xem ngươi cũng có phong cách như ta, được! Ta và ngươi kết làm bạn .
10036	Ðược
10037	Không
10038	Tốt 
10039	Không tốt
10040	Tôi không rảnh
10041	Nhân sinh từ cổ ai không tiện,  có ai đại tiện không dùng giấy.....
10042	Hahaha! Gặp được ta coi như ngươi xui xẻo! 
10043	Ðủ rồi, cảm ơn! 
10044	Oa, rất ít......
10045	Chế ít thì thôi.
10046	Ngươi kiếm Lưu Bị con tôi à, ai da, tôi cũng không biết nó chạy đi đâu rồi, vậy thì ngươi giúp tôi kiếm đi.
10047	Nghe nói nhà của Lưu Bị có báu vật thần bí......
10048	Ài! Ông già này chắc là điên rồi ......
10049	Tôi đã cho qua rồi mà? Làm ngươi đừng quá tham lam đó! 
10050	Trác quận thuộc về sự quản lí của thư sứ U châu Lưu Nhiên.
10051	Vào thành thì an phận một chút cho ta! 
10052	Chúng tôi không hoan nghênh những nhân vật thuộc binh khăn Vàng! 
10053	Người đâu! 
10054	Hihi, cô nương này cũng khá xinh đấy! 
10055	Ê! Tiểu tử ngươi coi cái gì, coi chừng lão cho ngươi một trận bây giờ. 
10056	Chảy nước miếng
10057	Ba người đàn ông bọn ngươi dám ăn hiếp một nữ sinh, là anh hùng hảo hán gì cơ chứ.
10058	Người đẹp, đừng sợ! Tôi đến cứu nàng! 
10059	Ta phụng mệnh tướng quân Thiên công trấn thủ nơi đây, chỉ cho phép vào không cho phép ra! 
10060	Cảm ơn ngươi,  ngươi thật là một quân tử chân chính .
10061	Người bạn trẻ,  tình uống lúc nãy tôi đã thấy!  Hành động kiến nghĩa dũng vĩ của anh tôi đã thấy,  tôi rất tán thưởng . 
10062	Phía trước là địa bàn của khăn Vàng Ðặng Mao . Haha!  Ngươi có dám theo ta xông vào không .
10063	Cảm ơn sự rộng lượng của ngươi,  vậy chúng ta gặp lại ở Ðào Viên! 
10064	Haha!  Muốn quay về hả ? Ðường đã bị tôi phong tỏa rồi,  ngươi nạp mạng đi!
10065	Ngươi có thể đến đây, nào xông vào đi!
10066	Nghe nói gần đây trong thành có Ðốc Du, đang đến đòi tiền hối lộ mọi nơi, nếu anh chịu đối phó tên Ðốc Du này, ta nhất định sẽ làm bạn với anh.
10067	Con trai tôi đang nhậm chức ở quan phủ,  vì không chịu cho tiền tên Ðốc Du nên  bị đánh đến trọng thương . Huhu.....
10068	Hòang đại mẫu,  ngừơi đừng đau lòng nữa,  tôi nhất định sẽ lấy lại sự công bằng cho ngươi! 
10069	Vị tiểu ca này,  chúng ta đi một chuyến quan phủ đi .
10071	Cái gì cũng không có 
10072	Ðây là lối đạo chủ yếu thông qua Huyền Võ Chì,  tiểu tử ngươi còn đủ tư cách tiến đến.
10073	Muốn đến lôi đài Thí Võ,  võ công của ngươi còn quá tồi! 
10074	Ðài Ðiểm binh không phải là nơi mà ngươi có thể đến! 
10075	Quận thủ hạ lệnh cửa này chỉ cho ra không cho vào .
10076	Tế Ðàn của Thái Bình Ðạo rất thần thánh,  ngươi không đủ tư cách đi vào! 
10077	Bãi bỏ
10078	Ðóng lại
10079	Những con ngựa của tôi là giống lọai tốt,  một con tính ngươi năm mươi lượng thôi .
10080	Mua
10081	Không mua
10082	Mọi ngươi đến ăn cơm ống tre đặc chế của tôi,  thơm thiệt đó !
10083	Nghe nói thầy giáo của Lưu Bị,  thượng thư Lô Trực đại nhân,  bị bọn lọan thần Tả Phong hãm hại,  bị quan binh bắt đi rồi! 
10084	Xin hỏi hắn bị bắt đi nơi nào rồi ?
10085	Hình như là Diệp Thành!  Ài,  người tốt không được sống thọ !
10086	Tôi đến thăm thầy Lô Trực
10087	Tránh ra,  đây không phải là nơi mà ngươi cần đến.
10088	Ðáng ghét,  tôi hôm nay nhất định phải dạy cho bọn hãm hại trung lương này.
10089	Hahaha,  tiểu quỷ cũng dám xông vào quan phủ ? Hay là chán sống rồi phải không ?
10090	Tôi đến nghinh cứu Thầy Lô Trực .
10091	Nhà ngươi ......
10092	Ái da!  đại hiệp tha mạng,  tiểu nhân chỉ là phụng mệnh mà làm .
10093	Tôi nhất định phải giết tên nghịch tặc này .
10094	Giết ta rồi ngươi sẽ hối hận! 
10095	Giết! 
10096	Không giết! 
10097	A!  Tha cho tôi à?
10098	Cảm tạ sự tha mạng của ngươi,  vậy thì tôi đem chia khóa trông lao ngục giao cho ngươi,  ngươi mau đi cứu Lô Trực đi! 
10099	Ðúng rồi, con trai của Lý đại ma nhà kế bên bị rắn độc cắn, chúng ta đều già rồi, ngươi có thể giúp tôi đến tiệm thuốc trong thành mua thuốc 
10100	Thiếu niên trẻ,  cảm ơn giải độc hòan của ngươi,  vậy độc thương của con trai ta là có thể giải quyết rồi . Tôi nhất định phải cảm tạ ngươi.
10101	Tôi sắp xuất giá rồi, nghe nói Từ Sơn có lọai trầm hương làm cho áo cưới thơm. Nhưng không biết đường đi như thế nào. Anh có thể giúp tôi được không?
10102	Ðồng ý.
